project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
86979845.sb,0,1,0,0,0,0,0,3,0,0,0,4,6,4,0,2,0
86984378.sb,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0
86987471.sb,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0
86993683.sb,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0
86994476.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
86998085.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87000421.sb,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
87001363.sb,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0
87002615.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
87003053.sb,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87008153.sb,0,0,0,0,0,0,0,1,2,0,1,1,3,0,0,6,0
87008356.sb,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,30,0
87011036.sb,0,1,0,0,0,0,0,1,0,0,0,2,3,0,0,8,0
87013323.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
87013609.sb,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1138,0
87013712.sb,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,12,0
87018129.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87020322.sb,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
87022792.sb,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87027865.sb,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,0,0
87031126.sb,0,0,0,0,0,0,0,8,0,0,3,10,7,0,0,42,0
87035855.sb,0,0,0,7,0,3,1,362,9,34,17,2,203,77,0,30,0
87044728.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87050214.sb,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
87050713.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
87051051.sb,0,0,0,0,0,0,0,2,0,1,0,5,2,4,0,4,2
87063732.sb,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
87065101.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87068770.sb,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
87070993.sb,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,2,0
87074045.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87082142.sb,0,0,4,0,3,0,0,0,0,0,0,4,0,4,0,12,0
87085884.sb,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,68,0
87086980.sb,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,424,0
87089594.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87092437.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87095232.sb,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
87101605.sb,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
87105723.sb,0,1,0,0,1,0,0,0,0,0,0,7,1,0,0,24,0
87106874.sb,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,2,0
87107280.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87107647.sb,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
87108096.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87108221.sb,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,32,0
87118263.sb,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87122125.sb,0,1,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0
87123215.sb,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
87124284.sb,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87124964.sb,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,20,0
87125264.sb,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
87129680.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87130234.sb,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0
87132748.sb,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
87134823.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
87137700.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87139214.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87140777.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87143169.sb,0,1,0,0,0,0,0,1,0,0,2,3,2,0,0,0,0
87144647.sb,0,0,0,0,0,0,0,9,0,0,0,8,11,0,0,0,0
87153793.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
87154271.sb,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
87158176.sb,0,0,0,0,0,0,0,4,0,0,10,12,3,0,0,40,0
