project,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,duplicated_name,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition
100000project.json,0,0,0,0,0,0,0,12,0,0,0,0,3,0,0,0,2
10519701.json,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
10541430.sb,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,6,0
10942522.sb,0,0,0,0,0,0,0,1,0,0,1,2,3,0,0,142,0
11823040.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11828235.sb,0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0
12030146.sb,0,0,0,0,0,0,0,5,0,0,0,13,5,0,0,92,0
12093755.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12237615.sb,0,0,0,0,0,0,0,4,0,0,2,5,2,0,0,0,0
12256407.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12441584.sb,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,3
12596438.sb,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,376,0
12596590.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12597047.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12597397.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12683181.sb,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0
13223646.sb,0,0,0,0,0,0,0,2,0,0,0,3,7,0,0,0,0
13357844.sb,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,12,0
13618241.sb,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
14073938.sb,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0
14125270.sb,0,0,0,0,0,0,0,0,0,0,0,15,16,15,0,184,0
14137046.sb,0,0,0,0,0,0,0,2,0,0,0,7,3,0,0,488,0
14161862.sb,0,0,0,0,0,0,0,1,0,0,0,5,3,0,0,2,0
14742679.sb,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
14860321.sb,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,220,0
15032542.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
15086346.sb,0,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0
15118716.sb,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
15141278.sb,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
15163360.sb,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0
15187520.sb,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
15296441.sb,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15529084.sb,0,0,0,0,0,0,0,7,0,0,0,1,3,1,0,0,0
15548188.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
15591364.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15592031.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15649432.sb,0,0,0,0,0,0,0,2,0,0,1,14,13,10,0,1320,0
15819791.sb,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
15819951.sb,0,1,0,0,0,0,0,1,0,0,0,0,8,0,0,2,1
15831642.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15970357.sb,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
16180058.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
16198429.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16198525.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16306675.sb,0,0,0,0,0,0,0,7,0,0,1,6,2,0,0,248,0
16661772.sb,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16661794.sb,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16661984.sb,0,0,0,6,0,1,1,323,8,32,15,2,185,48,0,32,4
16751890.sb,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0
16767928.sb,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,4,0
16774433.sb,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
17062315.sb,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
17289403.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17290000.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
17386637.sb,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0
17622951.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
17647115.sb,0,0,0,0,0,0,0,8,0,0,0,2,9,1,0,0,2
17816709.sb,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0
18312831.sb,0,0,0,1,0,0,0,0,0,1,1,7,2,1,5,64,6
18472138.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18560469.sb,0,0,0,0,0,0,0,2,0,4,0,7,2,0,0,114,0
18560642.sb,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
18636660.sb,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0
18637871.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0
18675494.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18711726.sb,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0
18763210.sb,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0
18806652.sb,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,90,0
18851372.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18856080.sb,0,0,0,0,0,0,0,1,0,0,1,1,4,0,0,2,0
18956179.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19281509.sb,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,0
19346754.sb,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,72,0
19347202.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19531164.sb,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
19534949.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19589342.sb,0,0,0,0,0,0,0,0,0,0,2,5,4,0,0,28,1
19799958.sb,0,0,0,0,0,0,0,1,0,0,0,25,2,4,0,16,0
19883976.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20058771.sb,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
20522740.sb,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0
20706418.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20708751.sb,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,126,0
21003299.sb,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0
21019413.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21086973.sb,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
21114832.sb,0,0,0,1,0,0,0,0,2,0,0,1,2,0,0,0,0
21194845.sb,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
21349661.sb,1,0,1,0,0,0,0,3,0,0,0,47,0,1,0,0,0
21476971.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21477255.sb,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21482185.sb,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0
21532395.sb,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,120,5
21538338.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21578441.sb,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
21667944.sb,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21672166.sb,0,0,0,2,0,0,0,1,0,0,2,8,5,0,0,10,4
21883410.sb,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
21890116.sb,0,0,0,0,0,0,0,10,0,1,5,32,27,28,0,1510,12
21915960.sb,0,0,0,1,0,0,0,1,0,0,1,2,3,0,0,0,0
22175345.sb,0,0,0,0,0,0,0,10,0,0,0,6,4,0,0,72,0
22244288.sb,0,1,2,0,0,0,0,6,0,0,0,1,0,0,0,2,0
22321403.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
22335593.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
22371439.sb,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
22416667.sb,0,0,8,0,0,0,0,1,2,0,0,4,2,0,0,4,1
22593858.sb,0,1,0,0,0,0,0,6,0,0,0,6,0,0,0,2,0
22656427.sb,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22705735.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,1
22707529.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
22890514.sb,0,0,2,0,0,0,0,26,0,0,0,20,0,1,0,290,6
23012151.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23105860.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23248451.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23314974.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
23341439.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
23442969.sb,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
23476512.sb,0,0,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0
23625729.sb,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
23783300.sb,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23809738.sb,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0
23830376.sb,0,0,0,0,0,0,0,4,0,0,0,4,2,0,0,0,0
23879428.sb,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0
23938450.sb,0,0,0,0,0,0,0,1,0,0,0,4,1,2,0,2,0
24047905.sb,0,0,2,0,0,0,0,0,0,0,0,19,0,1,0,816,0
24067422.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24084689.sb,1,0,4,9,0,0,0,0,0,0,1,0,1,0,0,0,0
24250158.sb,1,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
24390947.sb,0,0,1,0,0,0,0,0,0,0,0,61,16,2,0,6038,0
24571853.sb,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,224,0
24622443.sb,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,14,0
24636049.sb,0,0,0,0,0,0,0,0,4,0,0,27,11,17,0,324,0
24637739.sb,0,0,0,0,0,0,0,31,0,0,13,16,18,5,0,1294,1
24640285.sb,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
24649469.sb,0,0,0,10,0,0,0,1,0,0,1,0,11,0,0,0,0
24694037.sb,0,0,0,2,0,0,0,266,6,20,13,8,143,48,0,162,11
24771716.sb,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
24900909.sb,0,0,0,0,0,0,0,6,0,0,0,6,2,0,0,2,0
24953287.sb,0,0,0,0,0,0,0,4,0,0,0,13,5,0,0,592,0
24969221.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
24993228.sb,0,0,0,0,0,0,0,1,1,0,0,13,1,0,0,8,1
25008744.sb,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
25020672.sb,0,0,0,0,0,0,0,0,0,0,1,2,9,5,0,12,0
25076484.sb,0,1,0,0,0,0,0,4,0,23,0,21,0,0,0,358,4
25142995.sb,0,0,0,6,0,1,3,420,11,40,19,5,227,52,0,260,22
25147453.sb,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,54,0
25151472.sb,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,12,0
25197119.sb,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,12,0
25240321.sb,0,0,0,0,0,0,0,16,0,1,6,4,8,0,0,52,0
25320277.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25373519.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25374437.sb,0,0,29,0,0,0,0,38,0,0,0,10,2,0,0,328,0
25382086.sb,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
25395006.sb,0,0,0,0,0,0,0,12,0,0,10,6,17,2,0,124,1
25400401.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
25406890.sb,0,0,0,0,0,0,0,1,0,0,0,4,4,1,0,0,0
25473707.sb,0,0,0,1,0,1,0,1,1,1,0,2,6,0,0,4,0
25498751.sb,0,1,0,0,0,0,0,18,0,2,1,0,17,22,0,4,1
25511352.sb,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
25568030.sb,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,12,0
25586944.sb,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
25602886.sb,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0
25625107.sb,0,0,0,0,0,0,0,0,0,1,0,6,2,1,0,2,0
25657229.sb,1,1,3,0,0,0,0,1,0,0,1,7,0,0,0,0,0
25720451.sb,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,12,0
25755469.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
25772183.sb,0,0,0,6,0,1,1,335,8,29,15,2,186,47,0,30,4
25815083.sb,0,0,4,0,0,0,0,3,0,0,1,2,1,0,0,6,0
25844882.sb,0,0,0,0,0,0,0,0,0,0,0,11,1,3,0,2,0
25845185.sb,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
25990996.sb,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
26094412.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
26121843.sb,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1
26126817.sb,0,0,4,0,0,0,0,1,0,0,2,21,7,1,0,66,0
26344392.sb,0,0,0,0,0,0,0,4,0,0,0,10,9,2,0,2,1
26370363.sb,0,1,0,5,0,0,0,6,1,0,1,1,2,0,0,0,0
26371330.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26371373.sb,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
26371489.sb,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
26503529.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26524301.sb,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0
26551791.sb,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26593959.sb,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,12,0
26806875.sb,0,0,4,0,0,0,0,0,0,0,1,26,0,0,0,0,0
26822199.sb,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26902765.sb,0,0,0,0,0,0,0,0,0,0,0,5,1,8,0,12,0
26982325.sb,0,0,0,0,0,0,0,0,0,0,1,7,3,0,0,10,0
27045251.sb,0,1,0,0,0,0,0,2,0,0,0,14,2,0,0,48,0
27079840.sb,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0
27096816.sb,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
27165268.sb,0,0,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0
27221990.sb,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
27326971.sb,0,1,0,0,0,0,0,5,0,0,0,1,1,2,0,10,0
27565048.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
27565742.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27614464.sb,0,0,0,0,0,0,0,20,2,0,7,0,29,1,0,102,0
27621090.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
27641934.sb,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
27650094.sb,0,0,0,0,0,0,0,2,0,0,0,3,2,0,0,6,0
27740648.sb,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,420,0
27839628.sb,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
27882194.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27905296.sb,0,0,0,0,0,0,0,11,0,0,3,0,6,0,0,4,0
27914952.sb,0,0,0,0,0,0,0,16,1,0,1,0,22,0,0,0,0
27994756.sb,0,0,0,0,0,0,0,2,0,0,0,7,6,0,0,0,0
28148952.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
28325724.sb,0,0,0,0,0,0,0,5,0,2,0,20,54,5,0,2,4
28410152.sb,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0
28417896.sb,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
28490644.sb,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0
28630138.sb,0,0,8,0,0,0,0,0,4,0,0,5,6,0,0,4,0
28634828.sb,0,0,2,0,1,0,0,0,0,0,0,16,4,0,0,650,0
28815960.sb,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0
28816798.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29014168.sb,1,0,4,0,0,0,0,0,0,0,0,3,5,0,0,4,0
29021292.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
29219562.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29294872.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29417620.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29448972.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29703324.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
29728994.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29809934.sb,0,0,1,3,0,0,0,104,3,3,7,56,106,34,0,19958,0
30154148.sb,1,0,0,0,0,0,0,4,0,0,2,0,2,0,0,0,0
30217874.sb,0,0,4,0,0,0,0,0,0,0,1,0,4,1,0,0,0
30556808.sb,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0,24,0
30615378.sb,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0
30708070.sb,0,0,4,0,3,1,0,4,0,1,0,6,4,1,0,8,5
30926608.sb,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,700,0
31125868.sb,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
31126254.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
31268406.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31354440.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31424632.sb,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0
31560764.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,42,0
31800410.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31989118.sb,0,0,0,0,0,0,0,6,0,0,0,1,2,1,0,0,0
32197274.sb,0,0,0,0,0,0,0,5,0,1,0,0,4,0,0,2,0
32225240.sb,0,0,4,0,0,0,0,2,0,0,0,17,0,0,0,984,0
32263244.sb,0,0,0,0,0,0,0,0,0,0,0,18,18,18,0,0,0
32263284.sb,0,0,0,0,0,0,0,2,0,0,0,11,5,0,0,2,6
32352560.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
32403692.sb,0,3,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0
32406678.sb,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
32651572.sb,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
32657114.sb,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32958994.sb,0,0,0,0,0,0,0,1,0,1,2,14,13,0,0,76,0
33163758.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
33178878.sb,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,4,1
33221272.sb,0,0,4,0,0,0,0,0,0,0,1,5,4,0,0,68,0
33387524.sb,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
33388376.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
33492712.sb,0,0,0,0,0,0,0,4,0,0,0,6,3,0,0,114,0
33717574.sb,1,1,16,0,0,0,0,1,0,0,0,100,0,0,0,0,0
33866168.sb,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0
33908108.sb,0,2,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0
33948476.sb,0,0,0,0,0,0,0,0,0,0,3,4,3,0,0,0,0
34013132.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
34074728.sb,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,12,0
34148746.sb,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0
34177226.sb,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1
34203952.sb,0,0,0,0,0,0,0,1,0,0,1,20,1,0,0,342,0
34205258.sb,1,2,0,0,0,0,0,2,0,0,0,2,2,0,0,2,0
34339288.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
34354728.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34391396.sb,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
34533776.sb,0,0,0,0,0,0,0,0,1,0,0,4,0,2,0,6,0
34565450.sb,0,0,0,2,0,0,0,14,0,0,8,13,10,2,0,562,0
34721442.sb,0,0,0,0,0,0,0,5,0,0,0,4,1,1,0,0,0
34857876.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35071880.sb,0,0,0,0,0,0,0,0,0,0,2,26,19,1,0,194,0
35177576.sb,0,0,0,0,0,0,1,2,0,0,0,8,7,1,1,4,1
35295078.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
35388194.sb,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,150,5
35545694.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
35647346.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35730094.sb,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,12,0
35732416.sb,0,0,0,0,0,0,0,0,0,1,1,0,3,11,0,0,0
35742354.sb,1,0,0,0,0,0,0,16,0,0,0,3,5,0,0,4,0
35809960.sb,0,0,0,0,0,0,0,0,1,0,2,3,2,0,0,0,0
35956952.sb,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
35989348.sb,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
36001118.sb,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36014246.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
36017922.sb,0,0,0,0,0,0,0,1,0,0,0,16,4,0,0,42,0
36057896.sb,0,0,0,0,0,0,0,1,0,0,0,8,12,2,0,12,1
36093782.sb,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
36143806.sb,1,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
36189346.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36221392.sb,0,0,4,0,3,0,0,0,0,0,0,3,1,0,0,0,0
36281242.sb,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
36283838.sb,0,0,8,0,0,0,0,0,0,0,0,2,2,0,0,0,0
36395830.sb,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0
36567690.sb,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
36750186.sb,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0
36780310.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
36781778.sb,0,0,2,0,0,0,0,1,0,0,0,2,1,0,0,2,0
36839068.sb,0,0,0,0,0,0,0,0,0,0,0,3,12,1,0,16,0
36942772.sb,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37117284.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37157388.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
37179870.sb,0,0,0,0,0,0,0,0,0,0,0,17,9,2,0,164,0
37200952.sb,1,0,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0
37312452.sb,0,0,0,0,0,0,0,6,0,0,0,3,2,0,0,8,0
37361186.sb,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1
37417244.sb,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
37476372.sb,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0
37477050.sb,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
37478228.sb,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
37606644.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37655224.sb,0,0,0,0,0,0,0,1,0,0,0,12,10,0,0,26,0
37677726.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37681034.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37833650.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
38014240.sb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
38119994.sb,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
38210674.sb,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0
38337954.sb,0,0,0,0,0,0,0,0,1,0,3,10,5,0,0,274,0
38377072.sb,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
38495396.sb,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0
38548618.sb,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
38552558.sb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38610130.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
38616786.sb,0,0,0,0,0,0,0,4,1,0,1,0,1,0,0,0,0
38755340.sb,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
38907176.sb,0,0,0,0,1,0,0,8,0,0,1,16,3,0,0,12,0
38980940.sb,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
39034334.sb,0,0,0,0,0,0,0,2,0,0,0,11,27,0,0,528,0
39209244.sb,0,0,1,0,0,0,0,0,0,0,0,9,3,0,0,2,0
39275190.sb,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
39356130.sb,0,0,0,0,0,0,0,0,0,0,6,5,26,0,0,14,0
39417438.sb,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
39477114.sb,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,0
39539036.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39549744.sb,0,0,0,0,0,0,0,0,0,0,4,4,6,0,0,0,0
39630924.sb,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
39655788.sb,0,0,0,0,0,0,0,12,0,15,0,0,13,0,0,84,0
39746358.sb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
