project,blockCount,has_global_start,sprite_starting_point,laggy_movement,double_condition,missing_forever_loop,clone_initialization,missing_termination,loose_blocks,multiple_attribute_modification,empty_body,sequential_actions,sprite_naming,long_script,broadcast_sync,nested_loops,duplicated_script,race_condition,empty_script,middle_man,no_op,variable_scope,unused_variable,duplicated_sprite,inappropriate_intimacy,noop_project
99530354.sb,237,0,1,0,0,0,0,0,2,0,0,3,8,2,5,0,4,0,1,2,0,0,2,1,0,0
99530357.sb,58,0,0,0,0,0,0,0,3,0,0,0,3,1,0,0,1,0,0,0,3,0,0,2,0,0
99530367.sb,23,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0
99530372.sb,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530374.sb,43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
99530376.sb,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530379.sb,205,0,0,0,0,0,0,0,1,1,0,1,8,8,0,0,0,0,0,1,0,0,1,0,0,0
99530384.sb,189,0,0,0,0,0,0,0,3,0,0,2,8,1,5,0,5,0,0,1,0,0,1,2,0,0
99530386.sb,86,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
99530387.sb,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1
99530389.sb,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530392.sb,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
99530393.sb,423,0,0,0,0,0,0,0,0,0,0,4,10,11,0,0,0,0,1,0,0,0,0,0,0,0
99530397.sb,50,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
99530400.sb,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
99530408.sb,188,0,0,0,0,0,1,0,10,0,0,0,2,2,3,0,1,1,0,4,0,0,0,0,0,0
99530414.sb,144,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,5,2,0,0,0,0,0,0,0,0
99530416.sb,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530423.sb,29,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99530424.sb,95,0,0,0,0,0,0,0,16,0,0,1,13,0,0,0,2,0,0,0,0,0,0,1,0,0
99530425.sb,10,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0
99530428.sb,8,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
99530433.sb,30,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0
99530435.sb,262,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,5,0,1,4,0,0,1,0,0,0
99530441.sb,180,0,0,34,0,0,0,0,3,1,0,1,2,2,0,0,3,0,3,0,0,0,0,0,0,0
99530443.sb,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99530448.sb,77,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0,1,0,1,0,0
99530454.sb,30,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
99530455.sb,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
99530463.sb,51,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
99530468.sb,32,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
99530475.sb,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99530479.sb,71,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
99530481.sb,47,0,1,0,0,0,0,0,1,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0
